source,series,mode,backend,readers,metric,p50,min,max,seconds,keyspace,repeats
mund_db,mund_db rwlock,mixed,rwlock,1,reads,24685550,24433851,25049108,3,1024,3
mund_db,mund_db rwlock,mixed,rwlock,1,writes,32608,31163,34140,3,1024,3
mund_db,mund_db rwlock,mixed,rwlock,2,reads,23405226,19362305,23503770,3,1024,3
mund_db,mund_db rwlock,mixed,rwlock,2,writes,32896,30985,33257,3,1024,3
mund_db,mund_db rwlock,mixed,rwlock,4,reads,27024390,26741180,28455901,3,1024,3
mund_db,mund_db rwlock,mixed,rwlock,4,writes,33223,31412,33297,3,1024,3
mund_db,mund_db rwlock,mixed,rwlock,8,reads,34874042,33555770,35242722,3,1024,3
mund_db,mund_db rwlock,mixed,rwlock,8,writes,8226,7718,8698,3,1024,3
mund_db,mund_db rwlock,mixed,rwlock,16,reads,35350661,30520397,36305807,3,1024,3
mund_db,mund_db rwlock,mixed,rwlock,16,writes,20351,18515,20628,3,1024,3
mund_db,mund_db cow,mixed,cow,1,reads,47692788,43917929,49972042,3,1024,3
mund_db,mund_db cow,mixed,cow,1,writes,25457,24946,32293,3,1024,3
mund_db,mund_db cow,mixed,cow,2,reads,59073390,52848632,63800445,3,1024,3
mund_db,mund_db cow,mixed,cow,2,writes,31127,28885,32425,3,1024,3
mund_db,mund_db cow,mixed,cow,4,reads,90034941,81362229,101114491,3,1024,3
mund_db,mund_db cow,mixed,cow,4,writes,31388,28825,31652,3,1024,3
mund_db,mund_db cow,mixed,cow,8,reads,100068328,95351167,109745108,3,1024,3
mund_db,mund_db cow,mixed,cow,8,writes,8870,8479,9223,3,1024,3
mund_db,mund_db cow,mixed,cow,16,reads,135436935,128961472,147069515,3,1024,3
mund_db,mund_db cow,mixed,cow,16,writes,30848,28513,31167,3,1024,3
mund_db,mund_db rwlock,read_only,rwlock,1,reads,29924332,29890193,29995620,3,1024,3
mund_db,mund_db rwlock,read_only,rwlock,1,writes,0,0,0,3,1024,3
mund_db,mund_db rwlock,read_only,rwlock,2,reads,31931859,31310434,39661494,3,1024,3
mund_db,mund_db rwlock,read_only,rwlock,2,writes,0,0,0,3,1024,3
mund_db,mund_db rwlock,read_only,rwlock,4,reads,28029219,26893411,30509121,3,1024,3
mund_db,mund_db rwlock,read_only,rwlock,4,writes,0,0,0,3,1024,3
mund_db,mund_db rwlock,read_only,rwlock,8,reads,34297585,33388441,34569398,3,1024,3
mund_db,mund_db rwlock,read_only,rwlock,8,writes,0,0,0,3,1024,3
mund_db,mund_db rwlock,read_only,rwlock,16,reads,39624310,38320349,41713577,3,1024,3
mund_db,mund_db rwlock,read_only,rwlock,16,writes,0,0,0,3,1024,3
mund_db,mund_db cow,read_only,cow,1,reads,58053933,57266341,59715959,3,1024,3
mund_db,mund_db cow,read_only,cow,1,writes,0,0,0,3,1024,3
mund_db,mund_db cow,read_only,cow,2,reads,84951629,80154868,109893618,3,1024,3
mund_db,mund_db cow,read_only,cow,2,writes,0,0,0,3,1024,3
mund_db,mund_db cow,read_only,cow,4,reads,92205260,54996706,99733051,3,1024,3
mund_db,mund_db cow,read_only,cow,4,writes,0,0,0,3,1024,3
mund_db,mund_db cow,read_only,cow,8,reads,90471823,70123989,104693746,3,1024,3
mund_db,mund_db cow,read_only,cow,8,writes,0,0,0,3,1024,3
mund_db,mund_db cow,read_only,cow,16,reads,143781829,135198686,164976984,3,1024,3
mund_db,mund_db cow,read_only,cow,16,writes,0,0,0,3,1024,3
